"Marital_status","Course","Daytime_evening_attendance","Previous_qualification","Previous_qualification_grade","Nacionality","Mother_s_occupation","Father_s_occupation","Admission_grade","Displaced","Educational_special_needs","Gender","Scholarship_holder","Age_at_enrollment","International","Unemployment_rate","Inflation_rate","GDP","Target","PAM_1500"
"1","171","1",1,122,"1","5","9",127.3,"1","0","1","0",20,"0",10.8,1.4,1.74,"Dropout",1
"1","9254","1",1,160,"1","3","3",142.5,"1","0","1","0",19,"0",13.9,-0.3,0.79,"Graduate",2
"1","9070","1",1,122,"1","9","9",124.8,"1","0","1","0",19,"0",10.8,1.4,1.74,"Dropout",NA
"1","9773","1",1,122,"1","5","3",119.6,"1","0","0","0",20,"0",9.4,-0.8,-3.12,"Graduate",1
"2","8014","0",1,100,"1","9","9",141.5,"0","0","0","0",45,"0",13.9,-0.3,0.79,"Graduate",NA
"2","9991","0",19,133.1,"1","9",NA,114.8,"0","0","1","0",50,"0",16.2,0.3,-0.92,"Graduate",NA
"1","9500","1",1,142,"1",NA,"10",128.4,"1","0","0","1",18,"0",15.5,2.8,-4.06,"Graduate",NA
"1","9254","1",1,119,"1","9","9",113.1,"1","0","1","0",22,"0",15.5,2.8,-4.06,"Dropout",NA
"1","9238","1",1,137,"62","9","9",129.3,"0","0","0","1",21,"1",16.2,0.3,-0.92,"Graduate",2
"1","9238","1",1,138,"1","4",NA,123,"1","0","0","0",18,"0",8.9,1.4,3.51,"Dropout",NA
"1","9670","1",1,139,"1","5",NA,130.6,"1","0","0","0",18,"0",13.9,-0.3,0.79,"Graduate",NA
"1","9500","1",1,136,"1","9","9",119.3,"1","0","0","1",18,"0",12.7,3.7,-1.7,"Graduate",NA
"1","9853","1",1,133,"1","4","9",130.2,"1","0","0","0",19,"0",12.7,3.7,-1.7,"Dropout",NA
"1","9254","1",42,110,"1","4",NA,111.8,"1","0","0","1",21,"0",8.9,1.4,3.51,"Graduate",NA
"1","9085","1",1,149,"1","5","5",137.1,"1","0","0","1",18,"0",10.8,1.4,1.74,"Graduate",NA
"1","9773","1",1,127,"1","9","3",120.7,"1","0","0","0",20,"0",15.5,2.8,-4.06,"Dropout",NA
"1","9238","1",1,137,"1","5",NA,137.4,"1","0","0","0",18,"0",10.8,1.4,1.74,"Enrolled",1
"1","9500","1",1,135,"1","5","4",127.3,"1","0","0","0",18,"0",15.5,2.8,-4.06,"Graduate",1
"1","9130","1",1,137,"1","3","5",136.3,"1","0","0","0",20,"0",10.8,1.4,1.74,"Graduate",NA
"1","9853","1",1,140,"1",NA,NA,124.6,"1","0","0","0",18,"0",16.2,0.3,-0.92,"Enrolled",NA
"1","171","1",1,122,"1","9",NA,120.3,"0","0","0","1",21,"0",11.1,0.6,2.02,"Graduate",NA
"1","9556","1",1,127,"1","4",NA,121.8,"1","0","0","0",20,"0",12.7,3.7,-1.7,"Enrolled",NA
"1","9500","1",1,142,"1","1","1",125.5,"1","0","0","0",18,"0",12.7,3.7,-1.7,"Graduate",NA
"1","9670","1",1,125,"1","4",NA,114.9,"1","0","0","1",19,"0",11.1,0.6,2.02,"Graduate",NA
"1","9500","1",1,126,"1","3",NA,123.9,"0","0","0","0",19,"0",11.1,0.6,2.02,"Graduate",NA
"1","9238","1",1,151,"1","9","9",157,"1","0","0","1",18,"0",7.6,2.6,0.32,"Enrolled",NA
"1","9238","1",1,115,"1",NA,NA,116.4,"1","0","0","0",21,"0",16.2,0.3,-0.92,"Graduate",1
"1","9085","1",1,138,"1","3","3",131,"1","0","0","0",18,"0",9.4,-0.8,-3.12,"Enrolled",NA
"1","9147","1",1,135,"1","9","9",122.1,"1","0","0","0",20,"0",16.2,0.3,-0.92,"Graduate",NA
"1","9500","1",1,127,"1","1","10",118.8,"1","0","1","0",19,"0",16.2,0.3,-0.92,"Enrolled",NA
"1","9003","1",39,150,"1","4","2",150,"0","0","1","0",21,"0",16.2,0.3,-0.92,"Enrolled",2
"1","9070","1",1,125,"1",NA,NA,130,"1","0","1","0",20,"0",8.9,1.4,3.51,"Graduate",NA
"1","9147","1",1,143,"1","4","6",138.8,"0","0","1","0",18,"0",8.9,1.4,3.51,"Enrolled",NA
"1","8014","0",1,138,"1","9","5",134.5,"1","0","0","0",19,"0",12.4,0.5,1.79,"Graduate",NA
"1","9991","0",1,130,"1","3","9",131.4,"0","0","1","0",34,"0",13.9,-0.3,0.79,"Graduate",2
"1","33","1",1,130,"1","9","6",102.5,"0","0","1","0",37,"0",8.9,1.4,3.51,"Dropout",NA
"1","9119","1",10,133.1,"1",NA,NA,128.8,"1","0","1","0",43,"0",7.6,2.6,0.32,"Dropout",1
"1","9147","1",1,140,"1","6","6",122.9,"0","0","0","0",55,"0",16.2,0.3,-0.92,"Dropout",NA
"4","9991","0",1,120,"1","9","3",113.9,"1","0","0","0",39,"0",7.6,2.6,0.32,"Graduate",1
"1","9130","1",39,120,"6","3","6",120,"0","0","0","0",20,"1",12.4,0.5,1.79,"Dropout",NA
"1","9773","1",1,126,"1","2","2",121.1,"0","0","0","0",18,"0",12.7,3.7,-1.7,"Dropout",1
"1","9147","1",1,133,"1","2",NA,120.4,"1","0","0","0",22,"0",8.9,1.4,3.51,"Graduate",NA
"1","9500","1",1,103,"1","2","2",100.6,"1","1","0","0",22,"0",11.1,0.6,2.02,"Graduate",NA
"1","9773","1",1,120,"1","5","5",121.4,"0","0","0","0",20,"0",12.4,0.5,1.79,"Dropout",1
"1","9991","0",1,133.1,"1","9","9",109.7,"0","0","0","0",29,"0",16.2,0.3,-0.92,"Dropout",2
"1","9991","0",1,154,"1","4","5",134.1,"0","0","0","0",24,"0",7.6,2.6,0.32,"Enrolled",1
"1","9238","1",1,130,"1","9","9",127.6,"1","0","0","0",18,"0",11.1,0.6,2.02,"Graduate",NA
"1","9500","1",1,132,"1",NA,NA,132.4,"1","0","0","1",22,"0",11.1,0.6,2.02,"Graduate",1
"1","8014","0",39,130,"1","9","9",133.4,"0","0","0","1",21,"0",12.4,0.5,1.79,"Graduate",1
"1","9238","1",1,139,"1","9","9",126.1,"0","0","0","1",19,"0",12.7,3.7,-1.7,"Graduate",NA
"1","9254","1",1,130,"1","9",NA,113.5,"0","0","0","1",24,"0",12.4,0.5,1.79,"Graduate",1
"1","9500","1",1,139,"1","6","6",121.3,"1","0","0","1",19,"0",9.4,-0.8,-3.12,"Enrolled",1
"1","9773","1",1,127,"1",NA,NA,121.8,"1","0","0","1",20,"0",9.4,-0.8,-3.12,"Enrolled",NA
"1","9130","1",1,167,"1",NA,NA,159.3,"0","0","0","0",19,"0",7.6,2.6,0.32,"Graduate",NA
"1","9991","0",1,130,"1","9","9",120,"0","0","0","0",27,"0",9.4,-0.8,-3.12,"Dropout",NA
"1","9500","1",1,130,"1","5","5",129.1,"1","0","0","0",18,"0",15.5,2.8,-4.06,"Graduate",1
"2","9254","1",3,130,"1","4","3",130,"0","0","0","0",39,"0",12.4,0.5,1.79,"Dropout",NA
"1","9130","1",40,129,"1","2","2",155.3,"1","0","0","0",27,"0",12.4,0.5,1.79,"Dropout",NA
"1","9500","1",1,141,"1",NA,"10",139.8,"1","0","0","0",18,"0",9.4,-0.8,-3.12,"Graduate",NA
"1","171","1",1,125,"1","4","9",115.2,"1","0","0","0",18,"0",7.6,2.6,0.32,"Enrolled",NA
"1","9500","1",1,125,"1","9","9",114.9,"0","0","0","0",18,"0",16.2,0.3,-0.92,"Graduate",NA
"1","9238","1",39,130,"1","9","9",131.9,"0","0","0","1",21,"0",13.9,-0.3,0.79,"Graduate",NA
"1","171","1",1,133,"1","4",NA,126,"1","0","1","1",19,"0",10.8,1.4,1.74,"Enrolled",NA
"1","9070","1",1,127,"1","3","4",130.2,"1","0","1","0",19,"0",10.8,1.4,1.74,"Enrolled",NA
